chain	chainscore	refname	refsize	strand	refstart	refend	refshift	refnameshift	queryname	querysize	qstrand	querystart	queryend	queryshift	chainID	ungapsize
chain	1000	scf_8254645	1078769	+	50902	68640	68640	scf_8254645	chr5	27466550	-	66424	84162	86955	12827	17738
chain	1000	scf_8254645	1078769	+	68640	74682	74672	scf_8254645	chr5	27466550	-	86955	92997	93656	12826	6042
chain	1000	scf_8254645	1078769	+	74672	89433	89428	scf_8254645	chr5	27466550	-	93656	108417	109527	12825	14761
chain	1000	scf_8254645	1078769	+	89428	91524	91524	scf_8254645	chr5	27466550	-	109527	111623	112914	12824	2096
chain	1000	scf_8254645	1078769	+	91524	96038	98377	scf_8254645	chr5	27466550	-	112914	117428	120187	12823	4514
chain	1000	scf_8254645	1078769	+	98377	103032	103028	scf_8254645	chr5	27466550	-	120187	124842	128258	12822	4655
chain	1000	scf_8254645	1078769	+	103028	107537	107537	scf_8254645	chr5	27466550	-	128258	132767	134399	12821	4509
chain	1000	scf_8254645	1078769	+	107537	112274	112273	scf_8254645	chr5	27466550	-	134399	139136	140556	12820	4737
chain	1000	scf_8254645	1078769	+	112273	138476	138436	scf_8254645	chr5	27466550	-	140556	166759	167751	12819	26203
chain	1000	scf_8254645	1078769	+	138436	162179	162170	scf_8254645	chr5	27466550	-	167751	191494	193247	12818	23743
chain	1000	scf_8254645	1078769	+	162170	171317	172463	scf_8254645	chr5	27466550	-	193247	202394	207817	12817	9147
chain	1000	scf_8254645	1078769	+	172463	176758	180397	scf_8254645	chr5	27466550	-	207817	212112	224147	12816	4295
chain	1000	scf_8254645	1078769	+	180397	181987	181987	scf_8254645	chr5	27466550	-	224147	225737	234216	12815	1590
chain	1000	scf_8254645	1078769	+	181987	186290	186252	scf_8254645	chr5	27466550	-	234216	238519	246916	12814	4303
chain	1000	scf_8254645	1078769	+	186252	190800	190830	scf_8254645	chr5	27466550	-	246916	251464	257904	12813	4548
