chain	chainscore	refname	refsize	strand	refstart	refend	refshift	refnameshift	queryname	querysize	qstrand	querystart	queryend	queryshift	chainID	ungapsize
chain	1000	scf_8253903	4273	+	1828	4273	649	scf_8254101	chr4	31722566	+	77875	80320	85183	7666	2445
chain	1000	scf_8254101	9946	+	649	1768	809	scf_8254779	chr4	31722566	+	85183	86302	176172	7667	1119
chain	1000	scf_8254779	131984	+	809	3081	3081	scf_8254779	chr4	31722566	+	176172	178444	186111	7677	2272
chain	1000	scf_8254779	131984	+	3081	4198	4196	scf_8254779	chr4	31722566	+	186111	187228	191535	7678	1117
chain	1000	scf_8254779	131984	+	4196	6525	6525	scf_8254779	chr4	31722566	+	191535	193864	195860	7679	2329
chain	1000	scf_8254779	131984	+	6525	9712	9706	scf_8254779	chr4	31722566	+	195860	199047	206360	7680	3187
chain	1000	scf_8254779	131984	+	9706	14230	14229	scf_8254779	chr4	31722566	+	206360	210884	212921	7681	4524
chain	1000	scf_8254779	131984	+	14229	31872	31871	scf_8254779	chr4	31722566	+	212921	230564	230900	7682	17643
chain	1000	scf_8254779	131984	+	31871	34916	34878	scf_8254779	chr4	31722566	+	230900	233945	234045	7683	3045
chain	1000	scf_8254779	131984	+	34878	37581	37581	scf_8254779	chr4	31722566	+	234045	236748	237578	7684	2703
chain	1000	scf_8254779	131984	+	37581	40262	40257	scf_8254779	chr4	31722566	+	237578	240259	241937	7685	2681
chain	1000	scf_8254779	131984	+	40257	55560	55556	scf_8254779	chr4	31722566	+	241937	257240	259254	7686	15303
chain	1000	scf_8254779	131984	+	55556	70101	70097	scf_8254779	chr4	31722566	+	259254	273799	276502	7687	14545
chain	1000	scf_8254779	131984	+	70097	94861	94860	scf_8254779	chr4	31722566	+	276502	301266	304358	7688	24764
chain	1000	scf_8254779	131984	+	94860	111428	111424	scf_8254779	chr4	31722566	+	304358	320926	325316	7689	16568
chain	1000	scf_8254779	131984	+	111424	113003	113003	scf_8254779	chr4	31722566	+	325316	326895	329410	7690	1579
chain	1000	scf_8254779	131984	+	113003	115468	115476	scf_8254779	chr4	31722566	+	329410	331875	334001	7691	2465
chain	1000	scf_8254779	131984	+	115476	128363	128361	scf_8254779	chr4	31722566	+	334001	346888	354726	7692	12887
chain	1000	scf_8255382	1028	+	0	1028	2138	scf_8254519	chr4	31722566	+	355041	356069	455619	7694	1028
chain	1000	scf_8254779	131984	+	128361	129744	0	scf_8255382	chr4	31722566	+	354726	356109	355041	7693	1383
chain	1000	scf_8254519	9432	+	2138	3751	4588	scf_8254519	chr4	31722566	+	455619	457232	477794	7703	1613
chain	1000	scf_8254519	9432	+	4588	5990	87	scf_8254815	chr4	31722566	+	477794	479196	961580	7704	1402
chain	1000	scf_8254815	909308	+	87	4738	4734	scf_8254815	chr4	31722566	+	961580	966231	971288	7760	4651
chain	1000	scf_8254815	909308	+	4734	11926	11915	scf_8254815	chr4	31722566	+	971288	978480	980145	7761	7192
chain	1000	scf_8254815	909308	+	11915	17786	17784	scf_8254815	chr4	31722566	+	980145	986016	993748	7762	5871
chain	1000	scf_8254815	909308	+	17784	19223	19223	scf_8254815	chr4	31722566	+	993748	995187	998988	7763	1439
chain	1000	scf_8254815	909308	+	19223	24498	24676	scf_8254815	chr4	31722566	+	998988	1004263	1004363	7764	5275
chain	1000	scf_8254815	909308	+	24676	27443	27443	scf_8254815	chr4	31722566	+	1004363	1007130	1008425	7765	2767
chain	1000	scf_8254815	909308	+	27443	29686	29638	scf_8254815	chr4	31722566	+	1008425	1010668	1012427	7766	2243
chain	1000	scf_8254815	909308	+	29638	31186	31185	scf_8254815	chr4	31722566	+	1012427	1013975	1018879	7767	1548
chain	1000	scf_8254815	909308	+	31185	38844	38843	scf_8254815	chr4	31722566	+	1018879	1026538	1028009	7768	7659
chain	1000	scf_8254815	909308	+	38843	46275	46260	scf_8254815	chr4	31722566	+	1028009	1035441	1037495	7769	7432
chain	1000	scf_8254815	909308	+	46260	48992	48975	scf_8254815	chr4	31722566	+	1037495	1040227	1043360	7770	2732
chain	1000	scf_8254815	909308	+	48975	53430	53429	scf_8254815	chr4	31722566	+	1043360	1047815	1048019	7771	4455
chain	1000	scf_8254815	909308	+	53429	68348	68344	scf_8254815	chr4	31722566	+	1048019	1062938	1072315	7772	14919
chain	1000	scf_8254815	909308	+	68344	73358	73438	scf_8254815	chr4	31722566	+	1072315	1077329	1077429	7773	5014
chain	1000	scf_8254815	909308	+	73438	74612	74612	scf_8254815	chr4	31722566	+	1077429	1078603	1083305	7774	1174
chain	1000	scf_8254815	909308	+	74612	79246	79316	scf_8254815	chr4	31722566	+	1083305	1087939	1088162	7775	4634
chain	1000	scf_8254815	909308	+	79316	80321	80318	scf_8254815	chr4	31722566	+	1088162	1089167	1090969	7776	1005
chain	1000	scf_8254815	909308	+	80318	81713	81713	scf_8254815	chr4	31722566	+	1090969	1092364	1092464	7777	1395
chain	1000	scf_8254815	909308	+	81713	83647	83642	scf_8254815	chr4	31722566	+	1092464	1094398	1095973	7778	1934
chain	1000	scf_8254815	909308	+	83642	90988	90986	scf_8254815	chr4	31722566	+	1095973	1103319	1104948	7779	7346
chain	1000	scf_8254815	909308	+	90986	97561	97527	scf_8254815	chr4	31722566	+	1104948	1111523	1113956	7780	6575
chain	1000	scf_8254815	909308	+	97527	100952	100952	scf_8254815	chr4	31722566	+	1113956	1117381	1121356	7781	3425
chain	1000	scf_8254815	909308	+	100952	104072	104072	scf_8254815	chr4	31722566	+	1121356	1124476	1124944	7782	3120
chain	1000	scf_8254815	909308	+	104072	115862	115862	scf_8254815	chr4	31722566	+	1124944	1136734	1138513	7783	11790
chain	1000	scf_8254815	909308	+	115862	118215	118478	scf_8254815	chr4	31722566	+	1138513	1140866	1142886	7784	2353
chain	1000	scf_8254815	909308	+	118478	124063	124056	scf_8254815	chr4	31722566	+	1142886	1148471	1151360	7785	5585
chain	1000	scf_8254815	909308	+	124056	126539	126531	scf_8254815	chr4	31722566	+	1151360	1153843	1157186	7786	2483
chain	1000	scf_8254815	909308	+	126531	127864	127849	scf_8254815	chr4	31722566	+	1157186	1158519	1162338	7787	1333
chain	1000	scf_8254815	909308	+	127849	129334	129333	scf_8254815	chr4	31722566	+	1162338	1163823	1165397	7788	1485
chain	1000	scf_8254815	909308	+	129333	132244	132243	scf_8254815	chr4	31722566	+	1165397	1168308	1170888	7789	2911
chain	1000	scf_8254815	909308	+	132243	142146	142141	scf_8254815	chr4	31722566	+	1170888	1180791	1193820	7790	9903
chain	1000	scf_8254815	909308	+	142141	143871	143868	scf_8254815	chr4	31722566	+	1193820	1195550	1202808	7791	1730
chain	1000	scf_8254815	909308	+	143868	144881	144878	scf_8254815	chr4	31722566	+	1202808	1203821	1204745	7792	1013
chain	1000	scf_8254815	909308	+	144878	147109	147109	scf_8254815	chr4	31722566	+	1204745	1206976	1208729	7793	2231
chain	1000	scf_8254815	909308	+	147109	148359	148359	scf_8254815	chr4	31722566	+	1208729	1209979	1214559	7794	1250
chain	1000	scf_8254815	909308	+	148359	157430	157427	scf_8254815	chr4	31722566	+	1214559	1223630	1227448	7795	9071
chain	1000	scf_8254815	909308	+	157427	166791	166783	scf_8254815	chr4	31722566	+	1227448	1236812	1238801	7796	9364
chain	1000	scf_8254815	909308	+	166783	170163	170161	scf_8254815	chr4	31722566	+	1238801	1242181	1243495	7797	3380
chain	1000	scf_8254815	909308	+	170161	172255	172252	scf_8254815	chr4	31722566	+	1243495	1245589	1249670	7798	2094
chain	1000	scf_8254815	909308	+	172252	174407	174407	scf_8254815	chr4	31722566	+	1249670	1251825	1255039	7799	2155
