supercontig	IES_in_supercontig_start	IES_in_supercontig_end	IES_ID	IES_size	start_supercontig	end_supercontig	chromosome_name	supercontig_in_chromosome_start	supercontig_in_chromosome_end	IES_in_chromosome_start	IES_in_chromosome_end
supercont2.103	10772	16375	IES-00320-r14	5604	1	383389	chr5	18198144	18581532	18208916	18214520
supercont2.103	19887	24413	IES-00321-r12	4527	1	383389	chr5	18198144	18581532	18218031	18222558
supercont2.103	56663	73661	IES-00323-r17	16999	1	383389	chr5	18198144	18581532	18254807	18271806
supercont2.103	79237	80867	IES-00324-r14	1631	1	383389	chr5	18198144	18581532	18277381	18279012
supercont2.103	84835	88361	IES-00325-r14	3527	1	383389	chr5	18198144	18581532	18282979	18286506
supercont2.103	95037	97235	IES-00326-r16	2199	1	383389	chr5	18198144	18581532	18293181	18295380
supercont2.103	101031	105877	IES-00327-r14	4847	1	383389	chr5	18198144	18581532	18299175	18304022
supercont2.103	144950	147466	IES-00329-r8	2517	1	383389	chr5	18198144	18581532	18343094	18345611
supercont2.103	153297	163553	IES-00330-r8	10257	1	383389	chr5	18198144	18581532	18351441	18361698
supercont2.103	164777	166258	IES-00331-r9	1482	1	383389	chr5	18198144	18581532	18362921	18364403
supercont2.103	169915	171540	IES-00332-r13	1626	1	383389	chr5	18198144	18581532	18368059	18369685
supercont2.103	177372	181792	IES-00333-r14	4421	1	383389	chr5	18198144	18581532	18375516	18379937
supercont2.103	186231	186508	IES-00334-r15	278	1	383389	chr5	18198144	18581532	18384375	18384653
supercont2.103	188632	196448	IES-00335-r15	7817	1	383389	chr5	18198144	18581532	18386776	18394593
supercont2.103	204132	205249	IES-00336-r26	1118	1	383389	chr5	18198144	18581532	18402276	18403394
supercont2.103	213054	215926	IES-00337-r10	2873	1	383389	chr5	18198144	18581532	18411198	18414071
supercont2.103	222555	223716	IES-00338-r13	1162	1	383389	chr5	18198144	18581532	18420699	18421861
supercont2.103	239441	240403	IES-00339-r16	963	1	383389	chr5	18198144	18581532	18437585	18438548
supercont2.103	244938	246440	IES-00340-r18	1503	1	383389	chr5	18198144	18581532	18443082	18444585
supercont2.103	249439	252744	IES-00341-r18	3306	1	383389	chr5	18198144	18581532	18447583	18450889
supercont2.103	261339	262933	IES-00342-r6	1595	1	383389	chr5	18198144	18581532	18459483	18461078
supercont2.103	270712	274658	IES-00343-r10	3947	1	383389	chr5	18198144	18581532	18468856	18472803
supercont2.103	334667	336661	IES-00344-r6	1995	1	383389	chr5	18198144	18581532	18532811	18534806
supercont2.103	363637	372635	IES-00345-r13	8999	1	383389	chr5	18198144	18581532	18561781	18570780
supercont2.104	15202	20409	IES-00346-r12	5208	383438	1	chr5	15732859	16116296	16095888	16101096
supercont2.104	28645	32205	IES-00347-r12	3561	383438	1	chr5	15732859	16116296	16084092	16087653
supercont2.104	37864	43315	IES-00348-r14	5452	383438	1	chr5	15732859	16116296	16072982	16078434
supercont2.104	54804	56930	IES-00349-r14	2127	383438	1	chr5	15732859	16116296	16059367	16061494
supercont2.104	59798	61520	IES-00350-r18	1723	383438	1	chr5	15732859	16116296	16054777	16056500
supercont2.104	69344	71422	IES-00351-r12	2079	383438	1	chr5	15732859	16116296	16044875	16046954
supercont2.104	72959	74400	IES-00352-r9	1442	383438	1	chr5	15732859	16116296	16041897	16043339
supercont2.104	77593	80831	IES-00353-r21	3239	383438	1	chr5	15732859	16116296	16035466	16038705
