supercontig	IES_in_supercontig_start	IES_in_supercontig_end	IES_ID	IES_size	start_supercontig	end_supercontig	chromosome_name	supercontig_in_chromosome_start	supercontig_in_chromosome_end	IES_in_chromosome_start	IES_in_chromosome_end
supercont2.102	20293	21083	IES-00305-r10	791	376179	1	chr1	1944284	2320462	2299380	2300171
supercont2.102	39941	43032	IES-00306-r10	3092	376179	1	chr1	1944284	2320462	2277431	2280523
supercont2.102	47276	52373	IES-00307-r15	5098	376179	1	chr1	1944284	2320462	2268090	2273188
supercont2.102	57480	61936	IES-00308-r15	4457	376179	1	chr1	1944284	2320462	2258527	2262984
supercont2.102	108923	110291	IES-00309-r16	1369	376179	1	chr1	1944284	2320462	2210172	2211541
supercont2.102	165158	166492	IES-00310-r17	1335	376179	1	chr1	1944284	2320462	2153971	2155306
supercont2.102	180166	183145	IES-00311-r18	2980	376179	1	chr1	1944284	2320462	2137318	2140298
supercont2.102	220644	221865	IES-00312-r11	1222	376179	1	chr1	1944284	2320462	2098598	2099820
supercont2.102	231231	232489	IES-00313-r16	1259	376179	1	chr1	1944284	2320462	2087974	2089233
supercont2.102	235164	236618	IES-00314-r16	1455	376179	1	chr1	1944284	2320462	2083845	2085300
supercont2.102	256180	259873	IES-00315-r14	3694	376179	1	chr1	1944284	2320462	2060590	2064284
supercont2.102	274509	277710	IES-00316-r11	3202	376179	1	chr1	1944284	2320462	2042753	2045955
supercont2.102	291530	294589	IES-00317-r15	3060	376179	1	chr1	1944284	2320462	2025874	2028934
supercont2.102	317078	318452	IES-00318-r20	1375	376179	1	chr1	1944284	2320462	2002011	2003386
supercont2.102	328796	332575	IES-00319-r23	3780	376179	1	chr1	1944284	2320462	1987888	1991668
supercont2.105	27301	33329	IES-00372-r13	6029	1	367785	chr1	23160001	23527785	23187302	23193331
supercont2.105	51316	53407	IES-00373-r14	2092	1	367785	chr1	23160001	23527785	23211317	23213409
supercont2.105	60551	64178	IES-00374-r10	3628	1	367785	chr1	23160001	23527785	23220552	23224180
supercont2.105	178353	178536	IES-00375-r21	184	1	367785	chr1	23160001	23527785	23338354	23338538
supercont2.105	192639	193610	IES-00376-r6	972	1	367785	chr1	23160001	23527785	23352640	23353612
supercont2.105	200706	201477	IES-00377-r8	772	1	367785	chr1	23160001	23527785	23360707	23361479
supercont2.105	223317	224073	IES-00378-r6	757	1	367785	chr1	23160001	23527785	23383318	23384075
supercont2.105	230640	234040	IES-00379-r5	3401	1	367785	chr1	23160001	23527785	23390641	23394042
supercont2.105	240231	243912	IES-00380-r9	3682	1	367785	chr1	23160001	23527785	23400232	23403914
supercont2.105	268598	273730	IES-00381-r12	5133	1	367785	chr1	23160001	23527785	23428599	23433732
supercont2.105	280795	281668	IES-00382-r4	874	1	367785	chr1	23160001	23527785	23440796	23441670
supercont2.105	292368	304680	IES-00383-r5	12313	1	367785	chr1	23160001	23527785	23452369	23464682
supercont2.105	308335	312598	IES-00384-r7	4264	1	367785	chr1	23160001	23527785	23468336	23472600
supercont2.105	317565	322153	IES-00385-r5	4589	1	367785	chr1	23160001	23527785	23477566	23482155
supercont2.105	346758	348706	IES-00386-r10	1949	1	367785	chr1	23160001	23527785	23506759	23508708
supercont2.108	15110	18046	IES-00432-r14	2937	360554	1	chr1	22799347	23159900	23141855	23144792
supercont2.108	23845	28780	IES-00433-r19	4936	360554	1	chr1	22799347	23159900	23131121	23136057
supercont2.108	60925	68278	IES-00434-r9	7354	360554	1	chr1	22799347	23159900	23091623	23098977
supercont2.108	70344	73651	IES-00435-r9	3308	360554	1	chr1	22799347	23159900	23086250	23089558
supercont2.108	76697	78637	IES-00436-r11	1941	360554	1	chr1	22799347	23159900	23081264	23083205
supercont2.108	83655	85044	IES-00437-r19	1390	360554	1	chr1	22799347	23159900	23074857	23076247
supercont2.108	104971	108158	IES-00438-r10	3188	360554	1	chr1	22799347	23159900	23051743	23054931
supercont2.108	165237	166738	IES-00439-r6	1502	360554	1	chr1	22799347	23159900	22993163	22994665
supercont2.108	172950	179837	IES-00440-r15	6888	360554	1	chr1	22799347	23159900	22980064	22986952
supercont2.108	220126	224287	IES-00441-r14	4162	360554	1	chr1	22799347	23159900	22935614	22939776
supercont2.108	277108	279134	IES-00442-r11	2027	360554	1	chr1	22799347	23159900	22880767	22882794
supercont2.108	301997	304384	IES-00443-r17	2388	360554	1	chr1	22799347	23159900	22855517	22857905
supercont2.108	322406	324359	IES-00444-r12	1954	360554	1	chr1	22799347	23159900	22835542	22837496
supercont2.108	326175	330252	IES-00445-r9	4078	360554	1	chr1	22799347	23159900	22829649	22833727
supercont2.108	332286	333412	IES-00446-r13	1127	360554	1	chr1	22799347	23159900	22826489	22827616
supercont2.112	3691	15332	IES-00541-r12	11642	351217	1	chr1	19614444	19965660	19950329	19961971
supercont2.112	17034	18670	IES-00542-r11	1637	351217	1	chr1	19614444	19965660	19946991	19948628
supercont2.112	21910	29685	IES-00543-r12	7776	351217	1	chr1	19614444	19965660	19935976	19943752
supercont2.112	56989	57563	IES-00544-r16	575	351217	1	chr1	19614444	19965660	19908098	19908673
supercont2.112	59830	68567	IES-00545-r14	8738	351217	1	chr1	19614444	19965660	19897094	19905832
supercont2.112	92082	95962	IES-00547-r4	3881	351217	1	chr1	19614444	19965660	19869699	19873580
supercont2.112	100029	105416	IES-00548-r14	5388	351217	1	chr1	19614444	19965660	19860245	19865633
supercont2.112	111497	113107	IES-00549-r11	1611	351217	1	chr1	19614444	19965660	19852554	19854165
supercont2.112	129762	131108	IES-00550-r15	1347	351217	1	chr1	19614444	19965660	19834553	19835900
supercont2.112	133944	137911	IES-00551-r20	3968	351217	1	chr1	19614444	19965660	19827750	19831718
supercont2.112	162489	168610	IES-00552-r6	6122	351217	1	chr1	19614444	19965660	19797051	19803173
supercont2.112	173492	189991	IES-00553-r8	16500	351217	1	chr1	19614444	19965660	19775670	19792170
supercont2.112	199242	201755	IES-00554-r16	2514	351217	1	chr1	19614444	19965660	19763906	19766420
supercont2.112	207108	210528	IES-00555-r7	3421	351217	1	chr1	19614444	19965660	19755133	19758554
supercont2.112	222185	223307	IES-00557-r7	1123	351217	1	chr1	19614444	19965660	19742354	19743477
supercont2.112	229993	239883	IES-00558-r9	9891	351217	1	chr1	19614444	19965660	19725778	19735669
supercont2.112	257686	266817	IES-00559-r5	9132	351217	1	chr1	19614444	19965660	19698844	19707976
supercont2.112	285706	294400	IES-00560-r11	8695	351217	1	chr1	19614444	19965660	19671261	19679956
supercont2.112	301476	302905	IES-00561-r10	1430	351217	1	chr1	19614444	19965660	19662756	19664186
supercont2.112	306503	310878	IES-00562-r14	4376	351217	1	chr1	19614444	19965660	19654783	19659159
supercont2.112	315999	322579	IES-00563-r13	6581	351217	1	chr1	19614444	19965660	19643082	19649663
supercont2.112	329439	331463	IES-00564-r12	2025	351217	1	chr1	19614444	19965660	19634198	19636223
supercont2.112	336665	339602	IES-00565-r9	2938	351217	1	chr1	19614444	19965660	19626059	19628997
supercont2.112	344853	350459	IES-00566-r7	5607	351217	1	chr1	19614444	19965660	19615202	19620809
supercont2.113	29419	31674	IES-00567-r11	2256	315365	344693	chr1	34558666	34587994	34588085	34590341
supercont2.113	35326	41519	IES-00568-r22	6194	315365	344693	chr1	34558666	34587994	34593992	34600186
